"kind","etag","id","snippet_channelid","snippet_title","snippet_assignable"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/Xy1mB4_yLrHy_BmKmPBggty2mZQ""","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation","true"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles","true"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/nqRIq97-xe5XRZTxbknKFVe5Lmg""","10","UCBR8-60-B28hp2BmDPdntcQ","Music","true"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/HwXKamM1Q20q9BN-oBJavSGkfDI""","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals","true"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/9GQMSRjrZdHeb1OEM1XVQ9zbGec""","17","UCBR8-60-B28hp2BmDPdntcQ","Sports","true"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies","false"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/M-3iD9dwK7YJCafRf_DkLN8CouA""","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events","true"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/WmA0qYEfjWsAoyJFSw2zinhn2wM""","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming","true"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/EapFaGYG7K0StIXVf8aba249tdM""","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging","false"
"youtube#videoCategory","""m2yskBQFythfE4irbTIeOgYYfBU/xId8RX7vRN8rqkbYZbNIytUQDRo""","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs","true"
